Date,Description,Amount,Account
2026-06-28,SPOTIFY USA [SYNTHETIC],-11.99,SANDBOX — Everyday Checking
2026-06-30,NETFLIX.COM [SYNTHETIC],-15.99,SANDBOX — Everyday Checking
2026-07-03,UBER *TRIP HELP.UBER.COM [SYNTHETIC],-27.30,SANDBOX — Everyday Checking
2026-07-04,CHIPOTLE ONLINE 8811 [SYNTHETIC],-11.55,SANDBOX — Everyday Checking
2026-07-04,SQ *BLUE BOTTLE COFFEE #4821 AUSTIN TX [SYNTHETIC],-6.25,SANDBOX — Everyday Checking
2026-07-05,WHOLE FOODS MKT 10233 AUSTIN TX [SYNTHETIC],-36.66,SANDBOX — Everyday Checking
2026-07-05,PLANET FITNESS [SYNTHETIC],-24.99,SANDBOX — Everyday Checking
2026-07-07,SHELL OIL 57445123456 AUSTIN TX [SYNTHETIC],-40.38,SANDBOX — Everyday Checking
2026-07-07,TRADER JOES #182 AUSTIN TX [SYNTHETIC],-66.33,SANDBOX — Everyday Checking
2026-07-08,ZORBLAX QUANTUM WIDGETS LLC [SYNTHETIC],-46.59,SANDBOX — Everyday Checking
2026-07-11,NETFLIX.COM [SYNTHETIC],-15.99,SANDBOX — Everyday Checking
2026-07-12,DIRECT DEP ACME ROBOTICS PAYROLL [SYNTHETIC],6125.00,SANDBOX — Everyday Checking
2026-07-13,NETFLIX.COM [SYNTHETIC],-15.99,SANDBOX — Everyday Checking
2026-07-14,AMAZON.COM*MK4XY9Z11 AMZN.COM/BILL WA [SYNTHETIC],-42.29,SANDBOX — Everyday Checking
2026-07-16,SQ *BLUE BOTTLE COFFEE #4821 AUSTIN TX [SYNTHETIC],-6.21,SANDBOX — Everyday Checking
2026-07-17,SHELL OIL 57445123456 AUSTIN TX [SYNTHETIC],-70.50,SANDBOX — Everyday Checking
2026-07-17,ZORBLAX QUANTUM WIDGETS LLC [SYNTHETIC],-79.47,SANDBOX — Everyday Checking
2026-07-17,ONLINE TRANSFER TO SANDBOX SAVINGS 0003 [SYNTHETIC],-750.00,SANDBOX — Everyday Checking
2026-07-18,SPOTIFY USA [SYNTHETIC],-11.99,SANDBOX — Everyday Checking
2026-07-18,CVS/PHARMACY #09812 AUSTIN TX [SYNTHETIC],-35.52,SANDBOX — Everyday Checking
2026-07-19,CHIPOTLE ONLINE 8811 [SYNTHETIC],-23.43,SANDBOX — Everyday Checking
2026-07-19,WHOLE FOODS MKT 10233 AUSTIN TX [SYNTHETIC],-123.71,SANDBOX — Everyday Checking
2026-07-21,UBER *TRIP HELP.UBER.COM [SYNTHETIC],-22.14,SANDBOX — Everyday Checking
2026-07-22,PLANET FITNESS [SYNTHETIC],-24.99,SANDBOX — Everyday Checking
2026-07-23,AMAZON.COM*MK4XY9Z11 AMZN.COM/BILL WA [SYNTHETIC],-81.00,SANDBOX — Everyday Checking
2026-07-25,UBER *TRIP HELP.UBER.COM [SYNTHETIC],-12.22,SANDBOX — Everyday Checking
2026-07-27,TRADER JOES #182 AUSTIN TX [SYNTHETIC],-46.75,SANDBOX — Everyday Checking
2026-07-27,WHOLE FOODS MKT 10233 AUSTIN TX [SYNTHETIC],-69.49,SANDBOX — Everyday Checking
2026-07-28,TST* SWEETGREEN - DOMAIN [SYNTHETIC],-14.74,SANDBOX — Everyday Checking
2026-07-28,TST* SWEETGREEN - DOMAIN [SYNTHETIC],-14.29,SANDBOX — Everyday Checking
2026-07-29,NETFLIX.COM [SYNTHETIC],-15.99,SANDBOX — Everyday Checking
2026-08-02,TRADER JOES #182 AUSTIN TX [SYNTHETIC],-86.51,SANDBOX — Everyday Checking
2026-08-02,UBER *TRIP HELP.UBER.COM [SYNTHETIC],-18.57,SANDBOX — Everyday Checking
2026-08-05,TST* SWEETGREEN - DOMAIN [SYNTHETIC],-15.99,SANDBOX — Everyday Checking
2026-08-05,SPOTIFY USA [SYNTHETIC],-11.99,SANDBOX — Everyday Checking
2026-08-08,SQ *BLUE BOTTLE COFFEE #4821 AUSTIN TX [SYNTHETIC],-9.27,SANDBOX — Everyday Checking
2026-08-09,CVS/PHARMACY #09812 AUSTIN TX [SYNTHETIC],-27.51,SANDBOX — Everyday Checking
2026-08-11,WHOLE FOODS MKT 10233 AUSTIN TX [SYNTHETIC],-70.94,SANDBOX — Everyday Checking
2026-08-12,PLANET FITNESS [SYNTHETIC],-24.99,SANDBOX — Everyday Checking
2026-08-17,AMAZON.COM*MK4XY9Z11 AMZN.COM/BILL WA [SYNTHETIC],-90.35,SANDBOX — Everyday Checking
2026-08-18,ZORBLAX QUANTUM WIDGETS LLC [SYNTHETIC],-54.26,SANDBOX — Everyday Checking
2026-08-21,SQ *BLUE BOTTLE COFFEE #4821 AUSTIN TX [SYNTHETIC],-8.75,SANDBOX — Everyday Checking
2026-08-21,TST* SWEETGREEN - DOMAIN [SYNTHETIC],-19.05,SANDBOX — Everyday Checking
2026-08-22,CHIPOTLE ONLINE 8811 [SYNTHETIC],-13.07,SANDBOX — Everyday Checking
2026-08-24,AMAZON.COM*MK4XY9Z11 AMZN.COM/BILL WA [SYNTHETIC],-85.00,SANDBOX — Everyday Checking
2026-08-24,SHELL OIL 57445123456 AUSTIN TX [SYNTHETIC],-45.53,SANDBOX — Everyday Checking
2026-08-24,CVS/PHARMACY #09812 AUSTIN TX [SYNTHETIC],-11.45,SANDBOX — Everyday Checking
